empresa_de_transporte_marítimo,Nombre ,dirección_empresa,telefono_empresa,Ciudad,tipo_de_empresa
NAVESCO S.A.,GUILLERMO SOLANO VARELA,AVENIDA 19 118 95 OFICINA 214,620 90 35,Bogotá,CABOTAJE PUBLICO
NAVETRANS CORP,JOACHIN HAUBOLD,CALLE 100 # 8A-49 PISO 8,6211247,Bogotá,INTERNACIONAL PUBLICO
NAVIERA EXPRESS DEL CARIBE  S.A.S. NAVIEXCA S.A.S.,GOMEZ ARIZA CABRALES MARIA ELVIRA,CALLE 94 # 11-20 OFICINA 202,6354640,Bogotá,CABOTAJE PUBLICO
NELSON CAICEDO RODRIGUEZ,NELSON CAICEDO RODRIGUEZ,EDIFICIO MADRIGAL SENA 1 PISO,727 20 14,Tumaco,INTERNACIONAL PUBLICO
NELSON CAICEDO RODRIGUEZ,NELSON CAICEDO RODRIGUEZ,EDIFICIO MADRIGAL SENA 1 PISO,727 20 14,Tumaco,INTERNACIONAL PUBLICO
NELSON CAICEDO RODRIGUEZ,NELSON CAICEDO RODRIGUEZ,EDIFICIO MADRIGAL SENA 1 PISO,727 20 14,Tumaco,CABOTAJE PUBLICO
NELSON CAICEDO RODRIGUEZ,NELSON CAICEDO RODRIGUEZ,EDIFICIO MADRIGAL SENA 1 PISO,727 20 14,Tumaco,CABOTAJE PUBLICO
NELSON DARIO ARAUJO AGUIÑO,NELSON DARIO AGUIÑO ARAUJO,CALLE 6 22B - 74,47091,Buenaventura,CABOTAJE PUBLICO
NELSON SEA CARGO CORPORATION,JAN REISS,CARRERA 53 76 239 OFICINA 310 CENTRO HABITAT,358 50 17,Barranquilla,INTERNACIONAL PUBLICO
NESTOR HOLGUIN SANTOS,NESTOR HOLGUIN SANTOS,CALLE DEL COMERCIO  N 17-48,3174892287,Tumaco,INTERNACIONAL PUBLICO
NESTOR HOLGUIN SANTOS,NESTOR HOLGUIN SANTOS,CALLE DEL COMERCIO  N 17-48,3174892287,Tumaco,CABOTAJE PUBLICO
NETWORK SHIPPING LTD,LUIS HUMBERTO ROJO,CARRERA 81 47 A 51,413 45 45,Bogotá,INTERNACIONAL PUBLICO
NIPPON YUSEN KABUSHIKI KAISHA,KENTARO KAWAMURA,CALLE 100 8A 49 TORRE B PISO 8 WORLD TRADE CENTER,610 02 99,Bogotá,INTERNACIONAL PUBLICO
NORASIA CONTAINER LINES LIMITED,FERNADO BUSTAMANTE,CALLE 100 8 A 49 PISO 8,296 63 00,Bogotá,INTERNACIONAL PUBLICO
NORDANA LINE AS,JAN MAYLAND,CALLE 100 8 A 49 TORRE B PISO 8,610 02 99,Bogotá,INTERNACIONAL PUBLICO
NORGISTIC CHINA LIMITED,ANDREW JOHN RUSSEL,CALLE 100 # 8A-49 PISO 8,6210591,Bogotá,INTERNACIONAL PUBLICO
NORMAN ALBERTO FLOREZ LOPEZ,NORMAN ALBERTO FLOREZ LOPEZ,CALLE 1 67-34 BARRIO SAN MARTIN,827 56 31,Turbo,CABOTAJE PUBLICO
NORMAN EULOGIO DOWNS MORGAN,CAUSIL ROJAS Y CIA S. EN C.S.,ED CAMARA DE COMERCIO OF 307,(098) 512-2450 / 2451-2452,San andrés,INTERNACIONAL PUBLICO
NORWEGIAN CRUISE LINE,GOMEZ ARIZA CABRALES MARIA ELVIRA,CALLE 94 # 11-20 OFICINA 202,6354640,Bogotá,INTERNACIONAL PUBLICO
OBANDO BONILLA MARCOS JAVIER,MARCO AURELIO ZULUAGA MONTES,CALLE 3 5 A 13,242 29 71,Buenaventura,CABOTAJE PUBLICO
OCEAN NETWORK EXPRESS PTE. LTDA,YASMIN ARROYO,MUELLE TURISTICO LOCAL 3,17019,Buenaventura,INTERNACIONAL PUBLICO
ORIENT OVERSEAS CONTAINER LINE LIMITED,RAUL CASTAÑEDA MONSALVE,AVENIDA DEL FERROCARRIL 1-119 PISO 2,421 24 29,Bogotá,INTERNACIONAL PUBLICO
ORTIZ HURTADO MILTON,MILTON ORTIZ HURTADO,CRA 1 BARRIO EL CARMEN EL CHARCO,09224-11908,Buenaventura,CABOTAJE PUBLICO
ORTIZ HURTADO MILTON,MILTON ORTIZ HURTADO,CRA 1 BARRIO EL CARMEN EL CHARCO,09224-11908,Buenaventura,CABOTAJE PUBLICO
OSCAR MOSQUERA RAMOS,OSCAR MOSQUERA RAMOS,AVENIDA DE LOS ESTUDIANTES,3156905470,Tumaco,CABOTAJE PUBLICO
P & O CRUISES UK LIMITED,GOMEZ ARIZA CABRALES MARIA ELVIRA,CALLE 94 # 11-20 OFICINA 202,6354640,Bogotá,INTERNACIONAL PUBLICO
P&T GLOBAL SERVICES E.U.,HERNAN CARLOS PEREZ IGUARAN,CARRERA 14 #21-73,7255050,Bogotá,INTERNACIONAL PUBLICO
PACIFIC  INTERNATIONAL LINES (PTE)LTD.,MARITRANS S.A.S.,CR 7 67 02 OF 304,(091) 314-6223 / 346-6218,Bogotá,INTERNACIONAL PUBLICO
PACIFIC DIVING COMPANY S.A.,RAMIRO CATACOLI PEREIRA,CRA 34 3 99,5583903,Bogotá,CABOTAJE PUBLICO
PANALPINA S A,HANSEN KLAUS D,DIAGONAL 24 C 96 B 65,401 05 00,Bogotá,INTERNACIONAL PUBLICO
PANDALES MOSQUERA MARIA ELENA,MARIA ELENA PANDALES MOSQUERA,CALLE 6 23A-22,3206709875,Buenaventura,CABOTAJE PUBLICO
PASCUAL ARBOLEDA URBANO,PASCUAL ARBOLEDA URBANO,CALLE 3 5A 13,23 050,Buenaventura,CABOTAJE PUBLICO
PETROMAR LTDA,JORGE GOSAIN  ROGNINI,DIAGONAL 23 53 - 156 BOSQUE ABAJO DE PURINA,662 65 70,Cartagena,INTERNACIONAL PUBLICO
PETROMAR LTDA,JORGE GOSAIN  ROGNINI,DIAGONAL 23 53 - 156 BOSQUE ABAJO DE PURINA,662 65 70,Cartagena,CABOTAJE PUBLICO
PINILLO IZQUIERDO JOSE JULIAN,PINILLO IZQUIERDO JOSE JULIAN,CARRERA 2 CALLE 10,3113365142,Guapi,CABOTAJE PUBLICO
POWICK SHIPPING LIMITED,SZE SHJU MIN,CARRERA 10 # 28-49 PISO 19,3275127,Bogotá,INTERNACIONAL PUBLICO
PRINCESS CRUISES,GOMEZ ARIZA CABRALES MARIA ELVIRA,CALLE 94 # 11-20 OFICINA 202,6354640,Bogotá,INTERNACIONAL PUBLICO
PROXMAR SA,JOSE ANIBAL ARANGO SANCHEZ,CARRERA 43 A 14 27 OFICINA 401 COLONIAS DEL POBLAD,266 70 07,Bogotá,CABOTAJE PUBLICO
PULLMANTUR CRUISES SHIP MANAGEMENT LTD,MALCOM S.A.,10 200 OLD BACKERY STREET VALLETTA VTL1455 MALTA,282 52 00,Bogotá,INTERNACIONAL PUBLICO
RAFAEL OSWALDO MARTAN RODRIGUEZ,RAFAEL OSWALDO MARTAN RODRIGUEZ,CALLE 4 12 -04,243 31 63,Buenaventura,CABOTAJE PUBLICO
RAMON JOSE GOMEZ,RAMON JOSE GOMEZ,CARRERA 14  B #96-98,0748 221456,Turbo,INTERNACIONAL PUBLICO
REALPE VALENCIA AMANDA EMPERATRIZ,AMAVE LTDA,CARRERA 2 25 480,665 43 11,Cartagena,INTERNACIONAL PUBLICO
REALPE VALENCIA NEFER URBANO,NEFER URBANO REALPE VALENCIA,VEREDA PUERTO PALMA,3127019723,Tumaco,INTERNACIONAL PUBLICO
REALPE VALENCIA NEFER URBANO,NEFER URBANO REALPE VALENCIA,VEREDA PUERTO PALMA,3127019723,Tumaco,CABOTAJE PUBLICO
"REMBERTO ESTUPIÑAN APREDES, ARLEY ESTUPIÑAN ESTUPIÑAN Y ELDA ESI",REMBERTO ESTUPIÑAN,CALLE 4 12-04,33163,Buenaventura,CABOTAJE PUBLICO
RESC LTDA,CARLOS ESCAMILLA,AVENIDA 13 # 85-98 OFICINA 301,6006434,Bogotá,INTERNACIONAL PUBLICO
RETRAMAR S A,JORGE GOSAIN  ROGNINI,DIAGONAL 23 53 - 156 BOSQUE ABAJO DE PURINA,662 65 70,Cartagena,CABOTAJE PUBLICO
RICKMERS LINIE GMBH & CIE KG,JAN BOJE STEFFENS,NEUMULEN 19 HAMBURGO ALEMANIA,4.94039E+12,Bogotá,INTERNACIONAL PUBLICO
RICOMAR EU,HOWARD ULIS ERNESTO,AVENIDA 20 DE JULIO 53 01 PISO 2,512 66 23,San andrés,INTERNACIONAL PUBLICO
RICOMAR EU,HOWARD ULIS ERNESTO,AVENIDA 20 DE JULIO 53 01 PISO 2,512 66 23,San andrés,CABOTAJE PUBLICO
ROBERTO RODRIGUEZ QUINTERO,ROBERTO RODRIGUEZ QUINTERO,CALLE 6A #3A-07 PISO 2 CALIMITA,922424128,Buenaventura,INTERNACIONAL PUBLICO
ROBERTO RODRIGUEZ QUINTERO,ROBERTO RODRIGUEZ QUINTERO,CALLE 6A #3A-07 PISO 2 CALIMITA,922424128,Buenaventura,CABOTAJE PUBLICO
ROBINSON S COMPANY SAS,JORGETH ROBINSON ARCHBOLD,AVE FCO NEWBALL EDF. CAMARA DE CIO OFC 302,5124182,San andrés,INTERNACIONAL PUBLICO
ROBINSON S COMPANY SAS,JORGETH ROBINSON ARCHBOLD,AVE FCO NEWBALL EDF. CAMARA DE CIO OFC 302,5124182,San andrés,CABOTAJE PUBLICO
RODIL BOUTROUS Y CIA LTDA,YIRA BETRUZ FERNANDEZ,BOCAGRANDE AVENIDA 2DA. MICHEL LOCAL 4,665 54 54,Cartagena,CABOTAJE PUBLICO
ROHOMAR SHIPPING SAS,RODOLFO MARTINEZ HOWARD,CRA 13 8-23 PISO 2,3157140143,San andrés,CABOTAJE PUBLICO
ROMERO BONILLA VENANCIO,ROMERO BONILLA VENANCIO,KM 4 EL PINAL NO. 2-51,3173300557,Buenaventura,CABOTAJE PUBLICO
ROYAL CARIBBEAN CRUISES LTD,GERLEINCO S.A.,CR 10 A  28 49 P 15,(091) 282-5200 / 366-6652,Bogotá,INTERNACIONAL PUBLICO
ROYAL OLYMPIC CRUISES LTD,FRANCISCO ULLOA VELA,CALLE 10 # 28-49 PISO 15,2846812,Bogotá,INTERNACIONAL PUBLICO
RUBEN PERLAZA,PERLAZA RUBEN,CALLE 4 12 04,24 11914,Buenaventura,CABOTAJE PUBLICO
SANTE SHIPPING LINES INC,BRUNO RAMOS,EDIFICIO CAMARA DE COMERCIO OF. 401,578 5122452,San andrés,INTERNACIONAL PUBLICO
SEA LINE CARGO CORP,MARITIMA PROVIDENCIA LTDA,VBIA 40 69 - 58 BODEGA A1,344 31 71,Barranquilla,INTERNACIONAL PUBLICO
SEA LOGISTIX LTDA,GERMAN ADOLFO ARAOZ GIRALDO,CALLE 100 # 8A-49,2184672,Bogotá,INTERNACIONAL PUBLICO
SEABOARD MARINE LTD,GABRIEL EDUARDO MEJIA CUELLAR,CARRERA 12 79 43 OFICINA 701,313 04 03,Bogotá,INTERNACIONAL PUBLICO
SEAFREIGHT LINE LTD,FLAVIO CHAVARRO MARTINEZ,CARRERA 12 90 20 OFICINA 202,622 84 24,Bogotá,INTERNACIONAL PUBLICO
SEGURA QUIÑONEZ SUGEI MATILDE,SUGEI MATILDE SEGURA QUIÑONEZ,VEREDA PUERTO PALMA,3122213662,Tumaco,INTERNACIONAL PUBLICO
SEGURA QUIÑONEZ SUGEI MATILDE,SUGEI MATILDE SEGURA QUIÑONEZ,VEREDA PUERTO PALMA,3122213662,Tumaco,CABOTAJE PUBLICO
SENATOR INTERNATIONAL COLOMBIA SAS,ALVARO MANCILLA BARRON,CRA 11A # 94A-31 OFICINA 301,7436334,Bogotá,INTERNACIONAL PUBLICO
SHINSEGAE MARITIME CO LTD,JUNG W H,CALLE 100 # 8A-49 OFICINA 912,6210591,Bogotá,INTERNACIONAL PUBLICO
SILFREDO BARRIOS ARGEL,SILFREDO BARRIOS ARGEL,CALLE 100 12 - 75 EDIFICIO EL PIRATA,827 51 66,Turbo,CABOTAJE PUBLICO
SIXTO CAMACHO BENITEZ,SIXTO CAMACHO BENITEZ,MUELLE TURISTICO LOCAL 3,17019,Buenaventura,CABOTAJE PUBLICO
SMART SHIPPING S.A.S.,PASTOR ROBINSON WALTER,EDIFICIO CAMARA DE COMERCIO OF 307,985122450,San andrés,INTERNACIONAL PUBLICO
SMART SHIPPING S.A.S.,PASTOR ROBINSON WALTER,EDIFICIO CAMARA DE COMERCIO OF 307,985122450,San andrés,CABOTAJE PUBLICO
SOCIEDAD PORTUARIA TRANSMARSYP S.A.,MILTON MEZA MORENO,CARRERA 49 NO. 2-112,6671010,Cartagena,INTERNACIONAL PUBLICO
SOCIEDAD PORTUARIA TRANSMARSYP S.A.,MILTON MEZA MORENO,CARRERA 49 NO. 2-112,6671010,Cartagena,CABOTAJE PUBLICO
SOLIS GRUESO SEGUNDO ALFONSO,SEGUNDO ALFONSO SOLIS GRUESO,CRA 6A 11 10,2424327,Buenaventura,CABOTAJE PUBLICO
SOSA SIERRA JHON JAIRO,JHON JAIRO CASTRO LONDOÑO,CALLE 134 # 47-46,4156959,Bogotá,CABOTAJE PUBLICO
SUPERCARGO INTERNATIONAL SERVICES SA SERVICARGO S A,SANABRIA RAMIREZ RICARDO ERNESTO,CALLE 59 37 42,222 99 98,Bogotá,INTERNACIONAL PUBLICO
T.M.T. ZAYAMAR S.A.S.,MARITZA MORENO HURTADO,CRA 2A #2F-31,922460169,Buenaventura,CABOTAJE PUBLICO
TALISAYA S.A.S.,LUIS MIGUEL LEMEITRE DE LA ESPRIELLA,CLL 6 2 26 BOCAGRANDE ED GRANADA LOCAL 2,6652952,Cartagena,CABOTAJE PUBLICO
TBS EUROLINES LTD,FELIX ALBERTO POSADA LUGO,CALLE 96 13 A 21 PISO 2,622 60 66,Bogotá,INTERNACIONAL PUBLICO
TBS LATIN AMERICA LINER LTD,AQUARIUS SHIPPING COLOMBIA LTDA.,CALLE 96 # 13 -A- 33 PISO 2,(091) 622-6066,Bogotá,INTERNACIONAL PUBLICO
TBS NORTH AMERICA LINER LTD,AQUARIUS SHIPPING COLOMBIA LTDA.,CALLE 96 # 13 -A- 33 PISO 2,(091) 622-6066,Bogotá,INTERNACIONAL PUBLICO
TBS PACIFIC LINER LTD,AQUARIUS SHIPPING COLOMBIA LTDA.,CALLE 96 # 13 -A- 33 PISO 2,(091) 622-6066,Bogotá,INTERNACIONAL PUBLICO
TERESA CAICEDO,TERESA CAICEDO,KILOMETRO 4 EL PIÑAL BODEGA PRODELPA,312 26 17 208,Buenaventura,INTERNACIONAL PUBLICO
TERESA CAICEDO,TERESA CAICEDO,KILOMETRO 4 EL PIÑAL BODEGA PRODELPA,312 26 17 208,Buenaventura,CABOTAJE PUBLICO
TESORO TOURS S A,CAICEDO OVIEDO ALVARO ALBERTO,CARRERA 3 6 153,665 47 13,Cartagena,CABOTAJE PUBLICO
TMG OVERSEAS S  A,JUAN JOSE GONZALEZ,CARRERA 11 # 93-53 PISO 8,6019000,Bogotá,INTERNACIONAL PUBLICO
TODOMAR CHL MARINA SA,CARLOS LONDOÑO BOTERO,CARRERA 2 15-364,665 41 77,Cartagena,CABOTAJE PUBLICO
TORRES  CAICEDO JAVIER,JAVIER TORRES CAICEDO,CLL 1B 51C 43,922424128,Buenaventura,CABOTAJE PUBLICO
TORRES  CAICEDO JAVIER,JAVIER TORRES CAICEDO,CLL 1B 51C 43,922424128,Buenaventura,CABOTAJE PUBLICO
TORRES  CAICEDO JAVIER,JAVIER TORRES CAICEDO,CLL 1B 51C 43,922424128,Buenaventura,CABOTAJE PUBLICO
TORRES OBANDO VLADIMIR,TORRES OBANDO VLADIMIR,CARRERA 39  1 08,3166235950,Buenaventura,CABOTAJE PUBLICO
TORRES QUINTERO APOLINAR,APOLINAR QUINTERO TORRES,CL 1 1ª 89 – MUELLE TURISTICO LC 10,16486268,Buenaventura,CABOTAJE PUBLICO
TRANS J&M S.A.S,LONDOÑO PORTOCARRERO MARILYN CELENE,CRA 8 # 16-51 EDIFICIO PARIS CENTRO- OFICINA 602,3187040706,Bogotá,CABOTAJE PUBLICO
TRANS MARITIMA ANTIOQUEÑA LTDA.,ÁLVAREZ PALACIO BLANCA MARÍA,CR 13  100 33 OF 204 CC DON DIEGO,(094) 827-5166,Turbo,INTERNACIONAL PUBLICO
TRANSBORDER S.A.S.,CARLOS DUPERLY SANCHEZ,CARRERA 7 # 17-51 PISO 11,3416477,Bogotá,INTERNACIONAL PUBLICO
TRANSCOMERCIAL MARCOPOLO LIMITADA,JAIME ALONSO RESTREPO VELEZ,CALLE 46 SUR 22 05,336 03 55,Bogotá,CABOTAJE PUBLICO
TRANSDARIEN LTDA,EDUARDO KURE HENAO/MARIO KURE GARCES,EDIFICIO UNION COLOMBIANO 207 PLAZA DE LOS COCHES,664 55 22,Cartagena,CABOTAJE PUBLICO
TRANSFRUT EXPRESS LIMITED,AGENCIA OCEÁNICA S.A.S. OCEANIC,BRR MANGA  AV JIMENEZ 19 49,(095) 660-6216 / 660-5674,Cartagena,INTERNACIONAL PUBLICO
TRANSJUANCHACO LTDA,ALBERTO TELLO GOMEZ,MUELLE TURISTICO LOCAL 8,2246,Buenaventura,CABOTAJE PUBLICO
TRANSMAR DE COLOMBIA CIA LTDA,LEON JAIRO DE JESUS PALACIO ARANGO,CALLE 100 # 10-13,748275177,Turbo,CABOTAJE PUBLICO
TRANSMAR ESPERANZA EXPRESS S.A.S.,ARGEMIRO HIGUITA HIGUITA,CALLE 100 # 12-99,8275166,Turbo,INTERNACIONAL PUBLICO
TRANSMAR EU,MARILUZ ACOSTA SOLANO,CALLE 17 12 31,725 05 28,Bogotá,INTERNACIONAL PUBLICO
TRANSMARES LOGISTICA LTDA,RAUL CASTAÑEDA MONSALVE,AVENIDA DEL FERROCARRIL 1-119 PISO 2,421 24 29,Bogotá,INTERNACIONAL PUBLICO
TRANSMARES NAVIERA CHILENA LTDA,SCHEEHTER JHAN RICARDO,CALLE 12 N 4 17  OFICINA 508,667 84 05,Bogotá,INTERNACIONAL PUBLICO
TRANSMEURABA LTDA,JERONIMO CUESTA COGOLLO,CARRERA 53 75 - 87,55 61 69,Barranquilla,CABOTAJE PUBLICO
TRANSOCEANOS EU,RAMIREZ GONZALEZ LUIS EDUARDO,CALLE 17 18 02  LOCAL 2,726 77 61,Bogotá,CABOTAJE PUBLICO
TRANSPERU,CASTAÑO PAZOZ SUSANA DEL CARMEN,CARRERA 14 B 102 55,827 35 24,Turbo,INTERNACIONAL PUBLICO
TRANSPETROL LTDA,MIGUEL ALBERTO RODRIGUEZ FADUL,BOSQUE DIAGONAL 21 56A - 36 SECTOR CARTAGENITA,669 40 04,Cartagena,CABOTAJE PUBLICO
TRANSPORTADORA COMERCIAL TRACO LTDA,BERMUDEZ CONTRERAS HUGO,EDIFICIO LINDARAJA APARTAMENTO 5 CARRERA 13   5-31,665 43 11,Cartagena,INTERNACIONAL PUBLICO
TRANSPORTADORA COMERCIAL TRACO LTDA,BERMUDEZ CONTRERAS HUGO,EDIFICIO LINDARAJA APARTAMENTO 5 CARRERA 13   5-31,665 43 11,Cartagena,CABOTAJE PUBLICO
TRANSPORTADORA MARITIMA EL CARMEN LIMITADA,GONZALO GONZALEZ CAMBAR,CALLE 10 05 10,095 726 63 91,Bogotá,INTERNACIONAL PUBLICO
TRANSPORTADORA MARITIMA EL CARMEN LIMITADA,GONZALO GONZALEZ CAMBAR,CALLE 10 05 10,095 726 63 91,Bogotá,CABOTAJE PUBLICO
TRANSPORTADORA MARITIMA Y TERRESTRE IGUARAN & VELASQUEZ LTDA,ALEXIO SABINO IGUARAN IGUARAN,CARRERA 14 21 53,095 726 83 12,Bogotá,INTERNACIONAL PUBLICO
TRANSPORTE EXPRESO PALMIRA S.A.,JAVIER JARAMILLO RAMIREZ,CARRERA 34 #10-229,,Buenaventura,CABOTAJE PUBLICO
TRANSPORTE MARITIMO Y TERRESTRE EL SOL S.A.S.,LEO CANO HERRERA,CRA 34  5A-45 BARRIO SAN LUIS,3116304467,Buenaventura,CABOTAJE PUBLICO
TRANSPORTES URAMAR LTDA,LIBIA LUZ SALCEDO ALDANA,BARRIO VERANILLO CARRERA 22 CALLE 103 C 03-07,827 44 99,Turbo,CABOTAJE PUBLICO
TRANSPORTES Y SERVICIOS ESPECIALIZADOS DE COLOMBIA SAS,JHON WILMAR RINCON MORENO,AVENIDA ROOSVELT #29-05 OFICINA 405,2415461,Buenaventura,INTERNACIONAL PUBLICO
TRANSPORTES Y SERVICIOS ESPECIALIZADOS DE COLOMBIA SAS,JHON WILMAR RINCON MORENO,AVENIDA ROOSVELT #29-05 OFICINA 405,2415461,Buenaventura,CABOTAJE PUBLICO
TRANSPORTES Y SERVICIOS ESPECIALIZADOS DE COLOMBIA SAS,JHON WILMAR RINCON MORENO,AVENIDA ROOSVELT #29-05 OFICINA 405,2415461,Buenaventura,CABOTAJE PUBLICO
TRANSPORTES Y SERVICIOS ESPECIALIZADOS DE COLOMBIA SAS,JHON WILMAR RINCON MORENO,AVENIDA ROOSVELT #29-05 OFICINA 405,2415461,Buenaventura,CABOTAJE PUBLICO
TRANSPORTS SA,MARTIN BENTZ,CARRERA 81 47   A 51,413 45 45,Bogotá,INTERNACIONAL PUBLICO
TRINITY SHIPPING LINE SA,ALFONSO ACOSTA LATORRE,CARRERA 7 # 67-02,3466220,Bogotá,INTERNACIONAL PUBLICO
TRITON CARGO LTDA,RICARDO MANUEL HERNANDEZ ROMERO,CARRERA 69 # 43B-44 OFICINA 802,4297488,Bogotá,INTERNACIONAL PUBLICO
TUI CRUISES GMBH,LARSEN KIM KENNET,CALLE 98 22 64 OFICINA 409,622 37 77,Bogotá,INTERNACIONAL PUBLICO
TURBO CARGO MARITIME LIMITADA,MARCOS DARIO SERNA JARAMILLO,CALLE 100 12 75 LOCAL 304 CENTRO COMERCIAL EL PIRA,827 41 64,Turbo,INTERNACIONAL PUBLICO
UAA ADVENTURES S A,ARVID MARTIN KAT,CALLE 1 5 A 34,241 80 32,Buenaventura,INTERNACIONAL PUBLICO
UAA ADVENTURES S A,ARVID MARTIN KAT,CALLE 1 5 A 34,241 80 32,Buenaventura,INTERNACIONAL PRIVADO
UNIGREEN MARINE SA,LUZ MARINA SAGRE HERNANDEZ,CARRERA 7 74 01 PISO 5,345 18 00,Bogotá,INTERNACIONAL PUBLICO
UNITED ARAB SHIPPING COMPANY,GOMEZ ARIZA CABRALES MARIA ELVIRA,CALLE 94 # 11-20 OFICINA 202,6354640,Bogotá,INTERNACIONAL PUBLICO
UNITED CONSOLIDATE LIMITED,AGENCIA MARÍTIMA LEVER E HIJOS,EL AEROPUERTO DIAG BODEGA LOPESIERRA CL 5 407 BRR,(098) 512-2020,San andrés,INTERNACIONAL PUBLICO
UNITED LOGISTIC SERVICES S A,JUAN JOSE KOUSEN RESTREPO,MANGA CALLE 26 # 21-11,6604465,Cartagena,INTERNACIONAL PUBLICO
UNIVERSAL CARGO LTDA,OSCAR SANDOVAL VARAONA,CARRERA 47 # 50-24 OFICINA 703,2513308,Bogotá,INTERNACIONAL PUBLICO
V SHIPS LEISURE SAM,GAETANO GIAIMO FERRARI,MANGA AVENIDA JIMENEZ 19 49 PISO 1,660 63 58,Cartagena,INTERNACIONAL PUBLICO
VALENCIA GARCES EDINSON Y FLOREZ VALENCIA OSCAR,EDINSON VALENCIA GARCES,CRA 6A B 22-60 K4 EL PIÑAL,3147030361,Buenaventura,CABOTAJE PUBLICO
VALENCIA VASQUEZ NIDIA,VALENCIA VASQUEZ NIDIA,KM 4 EL PIÑAL BARRIO LA PALERA 2 PISO OFICINA 202,3154629535-3136251529,Buenaventura,CABOTAJE PUBLICO
VALLECILLA ANGULO ARGEMIRO,ARGEMIRO VALLECILLA ANGULO,CLL 1 CENTRO GALERIA PUEBLO NUEVO,2417019,Buenaventura,CABOTAJE PUBLICO
VALLEY CARGO S A,SAAVEDRA FONSECA NELLY,CARRERA 97 24 C 75 BODEGA 47,422 33 50,Bogotá,INTERNACIONAL PUBLICO
VIAJES EXPRESS TOGOMAR S.A.S.,ALFONSO TORRES ESTUPIÑAN,EL CHARCO,3105964907,Tumaco,CABOTAJE PUBLICO
VICTOR VASQUEZ VENTE,VICTOR VASQUEZ VENTE,BARRIO FRANCIA CARRERA 5  5  26,312 757 71 48,Guapi,CABOTAJE PUBLICO
WALLENIUS WILHELMSEN LINES AS,JUAN JOSE SALDARRIAGA CUARTAS,CARRERA 12 79 32 PISO 4,317 24 00,Bogotá,INTERNACIONAL PUBLICO
WALTER GAMEZ GUTIERREZ,WALTER GAMEZ GUTIERREZ,CALLE 4 12 04,243 33 163,Buenaventura,CABOTAJE PUBLICO
WAN HAI LINES-WHL-WAN HAI LINES (S) PTE-WHS.,NAVES S.A.S.,CL 100 # 13-21 OF 302 ED MEGATOWER,(091) 7051366,Bogotá,INTERNACIONAL PUBLICO
WILLIAM ALBERTO SERNA JARAMILLO,WILLIAM ALBERTO SERNA JARAMILLO,CENTRO COMERCIAL DON DIEGO OFICINA 221,827 92 31,Turbo,INTERNACIONAL PUBLICO
WILSON SANCHEZ SILVA,WILSON SANCHEZ SILVA,CALLE 3 #32-68 BARRIO KENNEDY,09224 15461,Buenaventura,INTERNACIONAL PUBLICO
WILSON SANCHEZ SILVA,WILSON SANCHEZ SILVA,CALLE 3 #32-68 BARRIO KENNEDY,09224 15461,Buenaventura,CABOTAJE PUBLICO
WINDSTAR SAIL CRUISESS LIMITED,ADRIANA CADENA LOZANO,EDIFICIO BANCO POPULAR OFICINA 701 LA MATUNA,6645683,Cartagena,INTERNACIONAL PUBLICO
X-PRESS CONTAINER LINE PANAMA SA,ROWLAND ANTHONY FAUQUIER SWAIN,CARRERA 12 # 90-20 OFICINA 203,6469700,Bogotá,INTERNACIONAL PUBLICO
YANG MING MARINE TRANSPORT CORPORATION,GOMEZ ARIZA CABRALES MARIA ELVIRA,CALLE 94 # 11-20 OFICINA 202,6354640,Bogotá,INTERNACIONAL PUBLICO
"ZEAMARINE AMERICAS, LLC (EX INDUSTRIAL MARITIME CARRIERS INC)",ROGER KAVANAGH,CARRERA 12 79 32 PISO 4,317 24 00,Bogotá,INTERNACIONAL PUBLICO
ZIM INTEGRATED SHIPPING SERVICES LTDA,AGENCIA MARÍTIMA TRANSMARES S.A.S,CR 1 10A 12 OF 204 ED SOCIEDAD PORTUARIA TERMINAL,(095) 421-2429 / 423-6018,Santa Marta,INTERNACIONAL PUBLICO
"ZOOM OCEAN FREIGHT, LLC",FABIO ALONSO RODRIGUEZ ORTEGA,CARRERA 3 # 6A-100 OFICINA 1101 T.E. PROTECCION,6650505 - 640000,Cartagena,INTERNACIONAL PUBLICO
